delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
14,0.035,0,101,44.343701177,群组7
14,0.035,1,84,30.83436199041856,群组3
14,0.035,2,97,35.10079343899152,群组5
14,0.035,3,84,29.0050345231067,群组2
14,0.035,4,84,32.88320441884776,群组4
14,0.035,5,149,38.321496709430576,群组6
14,0.035,6,70,20.703125,群组1
14,0.036000000000000004,0,104,44.343701177,群组7
14,0.036000000000000004,1,84,30.83436199041856,群组3
14,0.036000000000000004,2,100,35.10079343899152,群组5
14,0.036000000000000004,3,84,29.0050345231067,群组2
14,0.036000000000000004,4,84,32.88320441884776,群组4
14,0.036000000000000004,5,151,38.321496709430576,群组6
14,0.036000000000000004,6,70,20.703125,群组1
14,0.037000000000000005,0,106,44.343701177,群组7
14,0.037000000000000005,1,86,30.83436199041856,群组3
14,0.037000000000000005,2,102,35.10079343899152,群组5
14,0.037000000000000005,3,84,29.0050345231067,群组2
14,0.037000000000000005,4,84,32.88320441884776,群组4
14,0.037000000000000005,5,153,38.321496709430576,群组6
14,0.037000000000000005,6,70,20.703125,群组1
14,0.038000000000000006,0,109,44.343701177,群组7
14,0.038000000000000006,1,88,30.83436199041856,群组3
14,0.038000000000000006,2,105,35.10079343899152,群组5
14,0.038000000000000006,3,86,29.0050345231067,群组2
14,0.038000000000000006,4,84,32.88320441884776,群组4
14,0.038000000000000006,5,154,38.321496709430576,群组6
14,0.038000000000000006,6,70,20.703125,群组1
14,0.03900000000000001,0,112,44.343701177,群组7
14,0.03900000000000001,1,91,30.83436199041856,群组3
14,0.03900000000000001,2,107,35.10079343899152,群组5
14,0.03900000000000001,3,88,29.0050345231067,群组2
14,0.03900000000000001,4,84,32.88320441884776,群组4
14,0.03900000000000001,5,156,38.321496709430576,群组6
14,0.03900000000000001,6,70,20.703125,群组1
14,0.04000000000000001,0,115,44.343701177,群组7
14,0.04000000000000001,1,93,30.83436199041856,群组3
14,0.04000000000000001,2,110,35.10079343899152,群组5
14,0.04000000000000001,3,90,29.0050345231067,群组2
14,0.04000000000000001,4,86,32.88320441884776,群组4
14,0.04000000000000001,5,157,38.321496709430576,群组6
14,0.04000000000000001,6,70,20.703125,群组1
14,0.04100000000000001,0,118,44.343701177,群组7
14,0.04100000000000001,1,96,30.83436199041856,群组3
14,0.04100000000000001,2,113,35.10079343899152,群组5
14,0.04100000000000001,3,93,29.0050345231067,群组2
14,0.04100000000000001,4,89,32.88320441884776,群组4
14,0.04100000000000001,5,158,38.321496709430576,群组6
14,0.04100000000000001,6,70,20.703125,群组1
14,0.04200000000000001,0,122,44.343701177,群组7
14,0.04200000000000001,1,98,30.83436199041856,群组3
14,0.04200000000000001,2,116,35.10079343899152,群组5
14,0.04200000000000001,3,95,29.0050345231067,群组2
14,0.04200000000000001,4,91,32.88320441884776,群组4
14,0.04200000000000001,5,159,38.321496709430576,群组6
14,0.04200000000000001,6,70,20.703125,群组1
14,0.04300000000000001,0,127,44.343701177,群组7
14,0.04300000000000001,1,101,30.83436199041856,群组3
14,0.04300000000000001,2,119,35.10079343899152,群组5
14,0.04300000000000001,3,98,29.0050345231067,群组2
14,0.04300000000000001,4,94,32.88320441884776,群组4
14,0.04300000000000001,5,160,38.321496709430576,群组6
14,0.04300000000000001,6,70,20.703125,群组1
14,0.04400000000000001,0,135,44.343701177,群组7
14,0.04400000000000001,1,104,30.83436199041856,群组3
14,0.04400000000000001,2,122,35.10079343899152,群组5
14,0.04400000000000001,3,100,29.0050345231067,群组2
